Compound,RT,Filename,Area,m/z (Apex),ISTD Response,Actual RT,RT Delta,m/z (Expected),m/z (Delta)
Hexabromobenzene-13C6,14.46,P14_B_001,1430663,557.52325,5653277,14.46,0.00,<multiple>,-.79926 (ppm)
Hexabromobenzene-13C6,14.46,P14_D1_001,1149200,557.52319,5548788,14.47,0.01,<multiple>,-.90873 (ppm)
Hexabromobenzene-13C6,14.46,P14_D2_001,275919,557.52325,4391306,14.46,0.00,<multiple>,-.79926 (ppm)
Hexabromobenzene-13C6,14.46,P14_D3_001,435916,557.52313,4577212,14.46,0.00,<multiple>,-1.01821 (ppm)
Hexabromobenzene-13C6,14.46,P14_D3_002,322670,557.52313,3966503,14.46,0.00,<multiple>,-1.01821 (ppm)
Hexabromobenzene-13C6,14.46,P15_B_001,1314412,557.52313,4199472,14.46,0.00,<multiple>,-1.01821 (ppm)
Hexabromobenzene-13C6,14.46,P15_D1_001,1202455,557.52307,4186286,14.46,0.00,<multiple>,-1.12768 (ppm)
Hexabromobenzene-13C6,14.46,P15_D2_001,848747,557.52325,3600742,14.46,0.00,<multiple>,-.79926 (ppm)
Hexabromobenzene-13C6,14.46,P15_D3_001,1197061,557.52307,5081949,14.46,0.00,<multiple>,-1.12768 (ppm)
Hexabromobenzene-13C6,14.46,P16_B_001,1561588,557.52319,5455441,14.46,0.00,<multiple>,-.90873 (ppm)
Hexabromobenzene-13C6,14.46,P16_D1_001,674372,557.52313,4601497,14.46,0.00,<multiple>,-1.01821 (ppm)
Hexabromobenzene-13C6,14.46,P16_D2_001,336,557.52545,N/F,14.08,-0.38,<multiple>,3.14186 (ppm)
Hexabromobenzene-13C6,14.46,P16_D3_001,634104,557.52319,3687796,14.46,0.00,<multiple>,-.90873 (ppm)
Hexabromobenzene-13C6,14.46,QCB_001,2307923,557.52319,6299443,14.46,0.00,<multiple>,-.90873 (ppm)
Hexabromobenzene-13C6,14.46,QCP_001,1531394,557.52313,5292044,14.46,0.00,<multiple>,-1.01821 (ppm)
Hexabromobenzene-13C6,14.46,SolventBlank_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Hexabromobenzene-13C6,14.46,SolventBlank_002,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Hexabromobenzene-13C6,14.46,Spk2_001,725968,557.52332,2890028,14.47,0.01,<multiple>,-.68978 (ppm)
Mirex,15.19,Blk_001,3968217,271.80963,N/A,15.19,0.00,<multiple>,-1.35629 (ppm)
Mirex,15.19,P12_B_001,6973854,271.80957,N/A,15.19,0.00,<multiple>,-1.58084 (ppm)
Mirex,15.19,P12_D1_001,6306157,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P12_D2_001,5854375,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P12_D3_001,6321116,271.80957,N/A,15.19,0.00,<multiple>,-1.58084 (ppm)
Mirex,15.19,P14_B_001,5653277,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P14_D1_001,5548788,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P14_D2_001,4391306,271.80963,N/A,15.19,0.00,<multiple>,-1.35629 (ppm)
Mirex,15.19,P14_D3_001,4577212,271.80963,N/A,15.19,0.00,<multiple>,-1.35629 (ppm)
Mirex,15.19,P14_D3_002,3966503,271.80963,N/A,15.19,0.00,<multiple>,-1.35629 (ppm)
Mirex,15.19,P15_B_001,4199472,271.8096,N/A,15.2,0.01,<multiple>,-1.46856 (ppm)
Mirex,15.19,P15_D1_001,4186286,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P15_D2_001,3600742,271.80963,N/A,15.19,0.00,<multiple>,-1.35629 (ppm)
Mirex,15.19,P15_D3_001,5081949,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P16_B_001,5455441,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,P16_D1_001,4601497,271.80957,N/A,15.19,0.00,<multiple>,-1.58084 (ppm)
Mirex,15.19,P16_D2_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Mirex,15.19,P16_D3_001,3687796,271.8096,N/A,15.19,0.00,<multiple>,-1.46856 (ppm)
Mirex,15.19,QCB_001,6299443,271.80957,N/A,15.19,0.00,<multiple>,-1.58084 (ppm)
Mirex,15.19,QCP_001,5292044,271.8096,N/A,15.2,0.01,<multiple>,-1.46856 (ppm)
Mirex,15.19,SolventBlank_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Mirex,15.19,SolventBlank_002,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Mirex,15.19,Spk2_001,2890028,271.8096,N/A,15.2,0.01,<multiple>,-1.46856 (ppm)
Pentabromobenzene-13C6,11.99,Blk_001,N/F,N/F,N/A,N/F,N/F,477.6151,N/F
Pentabromobenzene-13C6,11.99,P12_B_001,3317636,477.61472,N/A,12,0.01,477.6151,-.80488 (ppm)
Pentabromobenzene-13C6,11.99,P12_D1_001,4142519,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,P12_D2_001,2776060,477.61478,N/A,12,0.01,477.6151,-.67709 (ppm)
Pentabromobenzene-13C6,11.99,P12_D3_001,4463910,477.61472,N/A,12,0.01,477.6151,-.80488 (ppm)
Pentabromobenzene-13C6,11.99,P14_B_001,1348129,477.61481,N/A,12,0.01,477.6151,-.61319 (ppm)
Pentabromobenzene-13C6,11.99,P14_D1_001,2646368,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,P14_D2_001,1849044,477.61478,N/A,12,0.01,477.6151,-.67709 (ppm)
Pentabromobenzene-13C6,11.99,P14_D3_001,1547396,477.61484,N/A,12,0.01,477.6151,-.54930 (ppm)
Pentabromobenzene-13C6,11.99,P14_D3_002,1356399,477.61478,N/A,12,0.01,477.6151,-.67709 (ppm)
Pentabromobenzene-13C6,11.99,P15_B_001,2913180,477.61459,N/A,12,0.01,477.6151,-1.06047 (ppm)
Pentabromobenzene-13C6,11.99,P15_D1_001,2309878,477.61465,N/A,12,0.01,477.6151,-.93267 (ppm)
Pentabromobenzene-13C6,11.99,P15_D2_001,1764389,477.61459,N/A,12,0.01,477.6151,-1.06047 (ppm)
Pentabromobenzene-13C6,11.99,P15_D3_001,3604332,477.61475,N/A,11.99,0.00,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,P16_B_001,3984695,477.61472,N/A,12,0.01,477.6151,-.80488 (ppm)
Pentabromobenzene-13C6,11.99,P16_D1_001,1657649,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,P16_D2_001,N/F,N/F,N/A,N/F,N/F,477.6151,N/F
Pentabromobenzene-13C6,11.99,P16_D3_001,1527046,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,QCB_001,3889484,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,QCP_001,2948451,477.61475,N/A,12,0.01,477.6151,-.74099 (ppm)
Pentabromobenzene-13C6,11.99,SolventBlank_001,N/F,N/F,N/A,N/F,N/F,477.6151,N/F
Pentabromobenzene-13C6,11.99,SolventBlank_002,N/F,N/F,N/A,N/F,N/F,477.6151,N/F
Pentabromobenzene-13C6,11.99,Spk2_001,657318,477.61475,N/A,12.01,0.02,477.6151,-.74099 (ppm)
Tributyl phosphate,16.18,Blk_001,N/F,N/F,17480438,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P12_B_001,N/F,N/F,41536369,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P12_D1_001,N/F,N/F,39217719,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P12_D2_001,N/F,N/F,38923782,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P12_D3_001,N/F,N/F,43800400,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P14_B_001,N/F,N/F,38869530,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P14_D1_001,N/F,N/F,39312935,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P14_D2_001,N/F,N/F,32902200,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P14_D3_001,N/F,N/F,35476817,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P14_D3_002,N/F,N/F,33369590,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P15_B_001,N/F,N/F,31544020,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P15_D1_001,N/F,N/F,31879862,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P15_D2_001,N/F,N/F,28447660,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P15_D3_001,N/F,N/F,33204869,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P16_B_001,N/F,N/F,30294614,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P16_D1_001,N/F,N/F,35263826,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P16_D2_001,N/F,N/F,235,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,P16_D3_001,N/F,N/F,27683422,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,QCB_001,N/F,N/F,39860953,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,QCP_001,N/F,N/F,34127669,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,SolventBlank_001,N/F,N/F,49044,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,SolventBlank_002,N/F,N/F,6221,N/F,N/F,<multiple>,N/F
Tributyl phosphate,16.18,Spk2_001,N/F,N/F,18145852,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,Blk_001,233,92.0387,17480438,7.95,-0.79,<multiple>,2.13268 (ppm)
Tributyl phosphine oxide,8.74,P12_B_001,637,92.03841,41536369,8.85,0.11,<multiple>,-1.01727 (ppm)
Tributyl phosphine oxide,8.74,P12_D1_001,N/F,N/F,39217719,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P12_D2_001,778,92.03852,38923782,8.83,0.09,<multiple>,.22613 (ppm)
Tributyl phosphine oxide,8.74,P12_D3_001,N/F,N/F,43800400,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P14_B_001,N/F,N/F,38869530,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P14_D1_001,931,92.03857,39312935,8.51,-0.23,<multiple>,.72349 (ppm)
Tributyl phosphine oxide,8.74,P14_D2_001,847,92.03872,32902200,10.21,1.47,<multiple>,2.38136 (ppm)
Tributyl phosphine oxide,8.74,P14_D3_001,N/F,N/F,35476817,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P14_D3_002,N/F,N/F,33369590,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P15_B_001,283,92.0385,31544020,7.39,-1.35,<multiple>,-.02255 (ppm)
Tributyl phosphine oxide,8.74,P15_D1_001,663,92.03876,31879862,8.67,-0.07,<multiple>,2.79583 (ppm)
Tributyl phosphine oxide,8.74,P15_D2_001,249,92.03861,28447660,8.29,-0.45,<multiple>,1.22086 (ppm)
Tributyl phosphine oxide,8.74,P15_D3_001,N/F,N/F,33204869,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P16_B_001,349,92.03875,30294614,9.44,0.70,<multiple>,2.71294 (ppm)
Tributyl phosphine oxide,8.74,P16_D1_001,783,92.03835,35263826,8.64,-0.10,<multiple>,-1.59752 (ppm)
Tributyl phosphine oxide,8.74,P16_D2_001,N/F,N/F,235,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,P16_D3_001,N/F,N/F,27683422,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,QCB_001,N/F,N/F,39860953,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,QCP_001,733,92.03856,34127669,8.44,-0.30,<multiple>,.64060 (ppm)
Tributyl phosphine oxide,8.74,SolventBlank_001,N/F,N/F,49044,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,SolventBlank_002,N/F,N/F,6221,N/F,N/F,<multiple>,N/F
Tributyl phosphine oxide,8.74,Spk2_001,381,N/A,18145852,7.47,-1.27,<multiple>,N/A
Triethyl phosphate,7.52,Blk_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate,7.52,P12_B_001,23862,98.98409,N/A,7.53,0.01,<multiple>,-1.16096 (ppm)
Triethyl phosphate,7.52,P12_D1_001,49557,98.98411,N/A,7.52,0.00,<multiple>,-.92973 (ppm)
Triethyl phosphate,7.52,P12_D2_001,24318,98.98411,N/A,7.52,0.00,<multiple>,-.92973 (ppm)
Triethyl phosphate,7.52,P12_D3_001,50374,98.98413,N/A,7.52,0.00,<multiple>,-.69850 (ppm)
Triethyl phosphate,7.52,P14_B_001,147314,98.98415,N/A,7.53,0.01,<multiple>,-.46727 (ppm)
Triethyl phosphate,7.52,P14_D1_001,21491,98.98416,N/A,7.54,0.02,<multiple>,-.39019 (ppm)
Triethyl phosphate,7.52,P14_D2_001,35980,98.98412,N/A,7.52,0.00,<multiple>,-.77558 (ppm)
Triethyl phosphate,7.52,P14_D3_001,10797,98.98418,N/A,7.52,0.00,<multiple>,-.23604 (ppm)
Triethyl phosphate,7.52,P14_D3_002,6430,98.98415,N/A,7.54,0.02,<multiple>,-.54435 (ppm)
Triethyl phosphate,7.52,P15_B_001,19514,98.98412,N/A,7.54,0.02,<multiple>,-.77558 (ppm)
Triethyl phosphate,7.52,P15_D1_001,9519,98.98414,N/A,7.54,0.02,<multiple>,-.62142 (ppm)
Triethyl phosphate,7.52,P15_D2_001,3996,98.98409,N/A,7.56,0.04,<multiple>,-1.08389 (ppm)
Triethyl phosphate,7.52,P15_D3_001,14110,98.98414,N/A,7.54,0.02,<multiple>,-.62142 (ppm)
Triethyl phosphate,7.52,P16_B_001,188128,98.98413,N/A,7.52,0.00,<multiple>,-.69850 (ppm)
Triethyl phosphate,7.52,P16_D1_001,9738,98.98418,N/A,7.56,0.04,<multiple>,-.23604 (ppm)
Triethyl phosphate,7.52,P16_D2_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate,7.52,P16_D3_001,1211,98.98404,N/A,7.57,0.05,<multiple>,-1.62342 (ppm)
Triethyl phosphate,7.52,QCB_001,30872,98.98413,N/A,7.52,0.00,<multiple>,-.69850 (ppm)
Triethyl phosphate,7.52,QCP_001,2461,98.98408,N/A,7.54,0.02,<multiple>,-1.23804 (ppm)
Triethyl phosphate,7.52,SolventBlank_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate,7.52,SolventBlank_002,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate,7.52,Spk2_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate-d15 (TEP-d15),12.31,Blk_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate-d15 (TEP-d15),12.31,P12_B_001,270107,103.04161,N/A,10.98,-1.33,<multiple>,.10401 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P12_D1_001,1843062,103.04165,N/A,10.97,-1.34,<multiple>,.47422 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P12_D2_001,104872,103.04163,N/A,10.98,-1.33,<multiple>,.32614 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P12_D3_001,3073937,103.04163,N/A,10.97,-1.34,<multiple>,.32614 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P14_B_001,40848,103.04166,N/A,11,-1.31,<multiple>,.54827 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P14_D1_001,35112,103.04166,N/A,12.72,0.41,<multiple>,.54827 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P14_D2_001,82530,103.04166,N/A,11,-1.31,<multiple>,.54827 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P14_D3_001,663515,103.04164,N/A,10.97,-1.34,<multiple>,.40018 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P14_D3_002,702348,103.04163,N/A,10.97,-1.34,<multiple>,.32614 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P15_B_001,208191,103.04166,N/A,11,-1.31,<multiple>,.54827 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P15_D1_001,4561876,103.0416,N/A,10.97,-1.34,<multiple>,-.04407 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P15_D2_001,46425,103.04163,N/A,10.99,-1.32,<multiple>,.32614 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P15_D3_001,1233408,103.04162,N/A,10.97,-1.34,<multiple>,.17806 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P16_B_001,36120,103.04163,N/A,10.98,-1.33,<multiple>,.25210 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P16_D1_001,4348997,103.04162,N/A,10.96,-1.35,<multiple>,.17806 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,P16_D2_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate-d15 (TEP-d15),12.31,P16_D3_001,26373,103.04163,N/A,12.73,0.42,<multiple>,.25210 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,QCB_001,159840,103.0416,N/A,10.98,-1.33,<multiple>,.02997 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,QCP_001,1046700,103.04162,N/A,10.97,-1.34,<multiple>,.17806 (ppm)
Triethyl phosphate-d15 (TEP-d15),12.31,SolventBlank_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate-d15 (TEP-d15),12.31,SolventBlank_002,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Triethyl phosphate-d15 (TEP-d15),12.31,Spk2_001,N/F,N/F,N/A,N/F,N/F,<multiple>,N/F
Tripentyl phosphate,11.03,Blk_001,220,98.98411,17480438,9.59,-1.44,<multiple>,1.09079 (ppm)
Tripentyl phosphate,11.03,P12_B_001,18818,98.98405,41536369,9.53,-1.50,<multiple>,.55126 (ppm)
Tripentyl phosphate,11.03,P12_D1_001,39654,98.98412,39217719,9.55,-1.48,<multiple>,1.16787 (ppm)
Tripentyl phosphate,11.03,P12_D2_001,14056,98.98414,38923782,9.53,-1.50,<multiple>,1.39910 (ppm)
Tripentyl phosphate,11.03,P12_D3_001,13910,98.98412,43800400,9.53,-1.50,<multiple>,1.24495 (ppm)
Tripentyl phosphate,11.03,P14_B_001,12803,98.98411,38869530,9.54,-1.49,<multiple>,1.09079 (ppm)
Tripentyl phosphate,11.03,P14_D1_001,24524,98.98409,39312935,9.53,-1.50,<multiple>,.93664 (ppm)
Tripentyl phosphate,11.03,P14_D2_001,20939,98.98419,32902200,9.53,-1.50,<multiple>,1.93864 (ppm)
Tripentyl phosphate,11.03,P14_D3_001,8035,98.98418,35476817,9.53,-1.50,<multiple>,1.78449 (ppm)
Tripentyl phosphate,11.03,P14_D3_002,8869,98.98412,33369590,9.53,-1.50,<multiple>,1.16787 (ppm)
Tripentyl phosphate,11.03,P15_B_001,14223,98.98413,31544020,9.54,-1.49,<multiple>,1.32203 (ppm)
Tripentyl phosphate,11.03,P15_D1_001,14865,98.98409,31879862,9.53,-1.50,<multiple>,.85956 (ppm)
Tripentyl phosphate,11.03,P15_D2_001,7806,98.98411,28447660,9.54,-1.49,<multiple>,1.09079 (ppm)
Tripentyl phosphate,11.03,P15_D3_001,18869,98.98412,33204869,9.53,-1.50,<multiple>,1.16787 (ppm)
Tripentyl phosphate,11.03,P16_B_001,78461,98.98414,30294614,9.53,-1.50,<multiple>,1.39910 (ppm)
Tripentyl phosphate,11.03,P16_D1_001,6811,98.98414,35263826,9.53,-1.50,<multiple>,1.39910 (ppm)
Tripentyl phosphate,11.03,P16_D2_001,183,98.98363,235,11.09,0.06,<multiple>,-3.68798 (ppm)
Tripentyl phosphate,11.03,P16_D3_001,2337,98.98415,27683422,9.53,-1.50,<multiple>,1.55326 (ppm)
Tripentyl phosphate,11.03,QCB_001,5525,98.98412,39860953,9.53,-1.50,<multiple>,1.24495 (ppm)
Tripentyl phosphate,11.03,QCP_001,4783,98.98417,34127669,9.54,-1.49,<multiple>,1.70741 (ppm)
Tripentyl phosphate,11.03,SolventBlank_001,N/F,N/F,49044,N/F,N/F,<multiple>,N/F
Tripentyl phosphate,11.03,SolventBlank_002,N/F,N/F,6221,N/F,N/F,<multiple>,N/F
Tripentyl phosphate,11.03,Spk2_001,217,98.98402,18145852,9.59,-1.44,<multiple>,.16587 (ppm)
Triphenyl phosphate,15.71,Blk_001,N/F,N/F,17480438,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P12_B_001,N/F,N/F,41536369,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P12_D1_001,N/F,N/F,39217719,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P12_D2_001,N/F,N/F,38923782,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P12_D3_001,N/F,N/F,43800400,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P14_B_001,N/F,N/F,38869530,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P14_D1_001,N/F,N/F,39312935,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P14_D2_001,N/F,N/F,32902200,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P14_D3_001,N/F,N/F,35476817,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P14_D3_002,N/F,N/F,33369590,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P15_B_001,N/F,N/F,31544020,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P15_D1_001,N/F,N/F,31879862,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P15_D2_001,N/F,N/F,28447660,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P15_D3_001,N/F,N/F,33204869,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P16_B_001,N/F,N/F,30294614,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P16_D1_001,4486,325.06052,35263826,16.87,1.16,<multiple>,-4.87182 (ppm)
Triphenyl phosphate,15.71,P16_D2_001,N/F,N/F,235,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,P16_D3_001,N/F,N/F,27683422,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,QCB_001,N/F,N/F,39860953,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,QCP_001,N/F,N/F,34127669,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,SolventBlank_001,N/F,N/F,49044,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,SolventBlank_002,N/F,N/F,6221,N/F,N/F,<multiple>,N/F
Triphenyl phosphate,15.71,Spk2_001,N/F,N/F,18145852,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,Blk_001,N/F,N/F,17480438,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P12_B_001,N/F,N/F,41536369,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P12_D1_001,N/F,N/F,39217719,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P12_D2_001,N/F,N/F,38923782,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P12_D3_001,1274,343.12381,43800400,14.2,-1.40,<multiple>,1.77725 (ppm)
Triphenyl phosphate-13C18,15.6,P14_B_001,696,343.12167,38869530,14.42,-1.18,<multiple>,-4.44859 (ppm)
Triphenyl phosphate-13C18,15.6,P14_D1_001,N/F,N/F,39312935,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P14_D2_001,N/F,N/F,32902200,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P14_D3_001,N/F,N/F,35476817,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P14_D3_002,N/F,N/F,33369590,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P15_B_001,1484,343.1218,31544020,15.99,0.39,<multiple>,-4.09283 (ppm)
Triphenyl phosphate-13C18,15.6,P15_D1_001,1610,343.12244,31879862,16.69,1.09,<multiple>,-2.22508 (ppm)
Triphenyl phosphate-13C18,15.6,P15_D2_001,N/F,N/F,28447660,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P15_D3_001,N/F,N/F,33204869,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P16_B_001,N/F,N/F,30294614,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P16_D1_001,4486,N/A,35263826,16.87,1.27,<multiple>,N/A
Triphenyl phosphate-13C18,15.6,P16_D2_001,N/F,N/F,235,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,P16_D3_001,N/F,N/F,27683422,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,QCB_001,N/F,N/F,39860953,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,QCP_001,5855,343.12283,34127669,16.34,0.74,<multiple>,-1.06885 (ppm)
Triphenyl phosphate-13C18,15.6,SolventBlank_001,N/F,N/F,49044,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,SolventBlank_002,N/F,N/F,6221,N/F,N/F,<multiple>,N/F
Triphenyl phosphate-13C18,15.6,Spk2_001,N/F,N/F,18145852,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate,9.22,Blk_001,680,N/A,3968217,10.39,1.17,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P12_B_001,9894,248.98421,6973854,10.52,1.30,<multiple>,-1.08379 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P12_D1_001,85137,N/A,6306157,10.54,1.32,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P12_D2_001,45469,N/A,5854375,10.54,1.32,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P12_D3_001,64523,N/A,6321116,10.53,1.31,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P14_B_001,26808,248.98486,5653277,10.53,1.31,<multiple>,1.55143 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P14_D1_001,65838,N/A,5548788,10.54,1.32,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P14_D2_001,164033,248.98468,4391306,10.55,1.33,<multiple>,.81602 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P14_D3_001,162397,248.98438,4577212,10.53,1.31,<multiple>,-.40966 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P14_D3_002,411585,248.9843,3966503,10.54,1.32,<multiple>,-.71608 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P15_B_001,3095,248.98456,4199472,8.92,-0.30,<multiple>,.32575 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P15_D1_001,25568,N/A,4186286,10.54,1.32,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P15_D2_001,81247,N/A,3600742,10.54,1.32,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,P15_D3_001,4345,248.98401,5081949,8.91,-0.31,<multiple>,-1.88048 (ppm)
