"INCHIKEY","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"QAOAOVKBIIKRNL-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","N-alkylindoles","N-alkylindoles",NA,NA,NA,NA,NA
"QAPOXOGEDXIOHD-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids",NA,NA,NA,NA,NA
"QAPOXOGEDXIOHD-VZRGJMDUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids",NA,NA,NA,NA,NA
"QASFUMOKHFSJGL-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Jerveratrum-type alkaloids",NA,NA,NA,NA,NA
"QATFYHWTNMSERU-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"QAUIZXBSXBMGCF-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","p-Hydroxybenzoic acid esters","p-Hydroxybenzoic acid alkyl esters",NA,NA,NA
"QAXXGPBRPRSNGG-FOHCZQPKNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",NA,NA,NA,NA,NA
"QBCIMRXPMLWVML-NHZJRHMYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Tetrapyrroles and derivatives","Metallotetrapyrroles","Metalloporphyrins",NA,NA,NA,NA,NA
"QBKSWRVVCFFDOT-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids",NA,NA,NA,NA,NA
"QBOFNNDGXMMAOI-QXYFZNHMSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
