"INCHIKEY","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"AACXJFORHWGYIN-PPPGVCINSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Xanthophylls",NA,NA,NA,NA
"AAHSTEUFCXJGIV-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Terpene lactones",NA,NA,NA,NA,NA
"AAJIHHYEPHRIET-JNAHJFNHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AAKBCFNYQADTIH-YZTYGCCUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"AAKJLRGGTJKAMG-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines","Quinazolinamines",NA,NA,NA,NA
"AAOFJKLTRKOQTQ-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA,NA
"AAPVQEMYVNZIOO-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid diesters",NA,NA,NA,NA,NA
"AASPCSXRLUECMA-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AATUJJYGUXNPAQ-UHFFFAOYSA-N","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAWZDTNXLSGCEK-LNVDRNJUSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"AAWZDTNXLSGCEK-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"AAWZDTNXLSGCEK-WYWMIBKRSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"ABHHIGWFFMCQOC-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolactams",NA,"Macrolactams",NA,NA,NA,NA,NA
"ABJKWBDEJIDSJZ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes",NA,"Naphthalenes",NA,NA,NA,NA,NA
"ABJOCPBDVGJFLG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Benzenediols","Catechols",NA,NA,NA,NA,NA
"ABORWESIKJVKBN-NNTCGQASSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",NA,NA,NA,NA,NA
"ABRIMXGLNHCLIP-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Cyclic ketones",NA,NA,NA,NA
"ABTNALLHJFCFRZ-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins",NA,NA,NA,NA
"ABUBCBFUQXIEAU-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Neoflavonoids","Neoflavones","Neoflavones",NA,NA,NA,NA,NA
"ABVCUBUIXWJYSE-UHFFFAOYNA-O","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides",NA,NA,NA
"ABXZOXDTHTTZJW-GFCCVEGCSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoquinolines and derivatives","Benzylisoquinolines","Benzylisoquinolines",NA,NA,NA,NA,NA
"ACEWLPOYLGNNHV-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Aromatic monoterpenoids",NA,NA,NA,NA,NA
"ACIJGUBIMXQCMF-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides",NA,NA,NA,NA
"ACNHBCIZLNNLRS-FAWQAIAASA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans",NA,"Naphthopyrans",NA,NA,NA,NA,NA
"ACTIUHUUMQJHFO-UPTCCGCDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones","Ubiquinones",NA,NA,NA,NA
"ACTOXUHEUCPTEW-JMRHEKERSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Aminoglycosides",NA,NA,NA,NA
"ACVGWSKVRYFWRP-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Pyridoindoles","Beta carbolines",NA,NA,NA,NA,NA
"ACWBBAGYTKWBCD-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives",NA,NA,NA
"ACWBQPMHZXGDFX-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","N-acyl-alpha amino acids",NA,NA
"ACWJDDIKDCUGLO-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"ACZFBYCNAVEFLC-RXMQYKEDSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Substituted imidazoles","Imidazolyl carboxylic acids and derivatives",NA,NA,NA,NA
"ADACAMXIRQREOB-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Fumonisins","Fumonisins",NA,NA,NA,NA,NA
"ADDLXGZBTXNVDS-OFNFSOOGSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"ADDLXGZBTXNVDS-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"ADEBPBSSDYVVLD-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Piperidines","Benzylpiperidines","N-benzylpiperidines",NA,NA,NA,NA,NA
"ADFCQWZHKCXPAJ-GFCCVEGCSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanols",NA,NA,NA,NA,NA
"ADOWBZYFYUOPDL-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones",NA,NA,NA,NA,NA
"ADPAPZVYVYEBGS-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Annonaceous acetogenins",NA,NA,NA,NA,NA
"ADVPTQAUNPRNPO-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids",NA,NA,NA
"AEGZYCGXUREGSM-OUKQBFOZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AEGZYCGXUREGSM-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AEKPZNDJHWFONI-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",NA,NA,NA,NA,NA
"AEMFNILZOJDQLW-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",NA,NA,NA,NA,NA
"AEMOLEFTQBMNLQ-YMDCURPLSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives",NA,NA,NA,NA
"AEMRFAOFKBGASW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",NA,NA,NA,NA,NA
"AENKZDZJGNAFQJ-AGIWQJESSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"AEPMKZIOUKHDOO-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols",NA,NA,NA,NA,NA
"AERAMEUFSDVACO-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"AERBNCYCJBRYDG-UHFFFAOYNA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,3-aminoalcohols",NA,NA,NA,NA
"AERWTVOXUHXGAE-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolactams",NA,"Macrolactams",NA,NA,NA,NA,NA
"AEUAVVIPDJTEFS-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"AEUAVVIPDJTEFS-YJCYQKNWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"AEWHYWSPVRZHCT-NDZSKPAWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl thioesters","Acyl CoAs",NA,NA,NA,NA,NA
"AFAZEQKSVKDGFX-FXLBWVNPSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolactams",NA,"Macrolactams",NA,NA,NA,NA,NA
"AFCDXKGLUDDXCK-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-7-O-glycosides",NA,NA,NA,NA
"AFDANKUHSLVEBJ-MBOHLOIDSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Biflavonoids and polyflavonoids","Biflavonoids and polyflavonoids",NA,NA,NA,NA,NA
"AFDRCEOKCOUICI-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Alpha-halocarboxylic acids and derivatives","Alpha-halocarboxylic acids",NA,NA,NA,NA,NA
"AFDXODALSZRGIH-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids",NA,NA,NA,NA,NA
"AFEVCSJFNQWWDF-AZFNEDKCSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins",NA,NA,NA,NA
"AFNDTSIACJAGSO-ZNBDOVCMSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androstane steroids",NA,NA,NA,NA,NA
"AFRRQLYJLLLTBC-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","N-acyl-alpha-hexosamines",NA,NA,NA,NA
"AFSDNFLWKVMVRB-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins","Hydrolyzable tannins",NA,NA,NA,NA,NA
"AFVFQIVMOAPDHO-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acids",NA,NA,NA,NA,NA
"AFVLVVWMAFSXCK-VMPITWQZSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",NA,NA,NA,NA,NA
"AFWOYEYXUDHGHF-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Alkyl phosphates","Dialkyl phosphates",NA,NA,NA,NA
"AFWTZXXDGQBIKW-DZESRJJCSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides",NA,NA,NA,NA,NA
"AFZSMODLJJCVPP-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzothiazoles",NA,"Benzothiazoles",NA,NA,NA,NA,NA
"AGASQWULIFZUOK-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-alkylindoles",NA,NA,NA,NA,NA
"AGBQKNBQESQNJD-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Dithiolanes","Lipoic acids and derivatives","Lipoic acids and derivatives",NA,NA,NA,NA,NA
"AGOYDEPGAOXOCK-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Aminoglycosides",NA,NA,NA,NA
"AGPKZVBTJJNPAG-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives",NA,NA,NA
"AGRZUANLVXMRCO-OZOQERRSSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal glycosides",NA,NA,NA,NA,NA
"AGSPXMVUFBBBMO-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Organic cyanides","Nitriles",NA,NA,NA,NA,NA
"AHANXAKGNAKFSK-IUQGRGSQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA,NA,NA,NA
"AHLPHDHHMVZTML-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids",NA,NA,NA
"AHNUBWYOIHCGFN-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Indanes","Indanones","Indanones",NA,NA,NA,NA,NA
"AHQKHXWHSBKWBF-UHFFFAOYSA-N","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHTRGGWSBFOEEG-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides",NA,NA,NA,NA,NA
"AHYOMNWKYGMYMB-CIEFDVMPSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides",NA,"Lignan glycosides",NA,NA,NA,NA,NA
"AHYXCADWVNCRQE-QNEQGIPDSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives",NA,NA,NA
"AIBOHNYYKWYQMM-MXBSLTGDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Carotenes",NA,NA,NA,NA
"AIFCFBUSLAEIBR-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Biflavonoids and polyflavonoids","Biflavonoids and polyflavonoids",NA,NA,NA,NA,NA
"AIFRHYZBTHREPW-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Pyridoindoles","Beta carbolines",NA,NA,NA,NA,NA
"AIFVFVGRWAMEBM-GSQIWVKLSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"AIFVFVGRWAMEBM-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"AIFXMSDWXBFQTF-SNXGECCISA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolines",NA,"Pyrrolines",NA,NA,NA,NA,NA
"AIFXMSDWXBFQTF-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","Pyrrolidones","Pyrrolidine-3-ones",NA,NA,NA,NA,NA
"AIGAZQPHXLWMOJ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Tanshinones, isotanshinones, and derivatives",NA,NA,NA,NA,NA
"AIONOLUJZLIMTK-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids","4'-O-methylated flavonoids",NA,NA,NA,NA,NA
"AIPGFMVNUMXXEM-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Phenols","Tyrosols and derivatives","Tyrosols and derivatives",NA,NA,NA,NA,NA
"AIULWNKTYPZYAN-GOSISDBHSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Gingerols",NA,NA,NA,NA,NA
"AIULWNKTYPZYAN-SFHVURJKSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Gingerols",NA,NA,NA,NA,NA
"AIULWNKTYPZYAN-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Gingerols",NA,NA,NA,NA,NA
"AJAGLPDYKVWJQE-SQGFOMTPSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides","Isoflavonoid O-glycosides",NA,NA,NA,NA,NA
"AJBZTNALOBRIRR-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"AJDQKRZBPRPMCX-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJOPHDUNANPFKQ-VEEBWJHKSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Hydroxysteroids","7-hydroxysteroids",NA,NA,NA,NA,NA
"AJORQYDPWJZVAU-KCIYAEAGSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides",NA,NA,NA,NA,NA
"AJUACYVEKRAXEB-QXJSNOIISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AKARZXADDNXORH-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acid esters","Cinnamic acid esters",NA,NA,NA,NA,NA
"AKIHYQWCLCDMMI-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",NA,NA,NA,NA,NA
"AKIRMBMADXTLAC-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids",NA,NA,NA,NA,NA
"AKJIPZYHXYQVJT-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones",NA,NA,NA,NA,NA
"AKKQGFKWEDCWJK-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids",NA,NA,NA,NA,NA
"AKLLFACZGZTMGS-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives",NA,NA,NA
"AKMKWHBDPUOPSK-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",NA,NA,NA,NA,NA
"AKMKWHBDPUOPSK-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",NA,NA,NA,NA,NA
"AKPIJPQIDBGCGR-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"ALFUZUYJAXAEKE-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues",NA,"Macrolides and analogues",NA,NA,NA,NA,NA
"ALIRENPDFGUYQE-NSLGBSSLNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Phosphatidylethanolamines",NA,NA,NA,NA,NA
"ALJYHFIRPGURAF-DACYDXBYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",NA,NA,NA,NA,NA
"ALLWOAVDORUJLA-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids",NA,NA,NA
"ALPIUWBZQOROIJ-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA,NA,NA,NA
"ALSZHZPQTCVXIR-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Kaurane diterpenoids",NA,NA,NA,NA,NA
"ALUBZGFIRHMLEY-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzazepines",NA,"Benzazepines",NA,NA,NA,NA,NA
"ALVYVCQIFHTIRD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acids",NA,NA,NA,NA,NA
"ALWKGYPQUAPLQC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenoxy compounds","Phenoxy compounds",NA,NA,NA,NA,NA
"ALWVJGZIYSIJGR-LELXDKESSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Aurone flavonoids",NA,"Aurone flavonoids",NA,NA,NA,NA,NA
"ALYHYIXFUOUIHJ-OCOORCSRSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"ALYNCZNDIQEVRV-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Aminobenzoic acids and derivatives","Aminobenzoic acids",NA,NA,NA,NA
"ALZPKDUBPSBRMK-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonamides",NA,NA,NA,NA,NA
"AMBQHHVBBHTQBF-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides",NA,NA,NA,NA,NA
"AMBQHHVBBHTQBF-UOUCRYGSSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides",NA,NA,NA,NA,NA
"AMEKQAFGQBKLKX-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Anilides",NA,NA,NA,NA,NA
"AMOGMTLMADGEOQ-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Diterpene lactones","Ginkgolides and bilobalides",NA,NA,NA,NA
"AMPGCEICHOUYGY-OWOJBTEDSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Alpha-halocarboxylic acids and derivatives","Alpha-halocarboxylic acids",NA,NA,NA,NA,NA
"AMTSLHRSERHBCF-IBQNZTRDSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Epoxides",NA,"Epoxides",NA,NA,NA,NA,NA
"AMXYFWUYMQOLRN-BHGPNLNISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"ANAYVOIMIFOBKU-OWOJBTEDSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANBPQRLLOPVKIG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenanthrenes and derivatives",NA,"Phenanthrenes and derivatives",NA,NA,NA,NA,NA
"ANCRUIZRJBSARJ-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Lupin alkaloids","Cytisine and derivatives","Cytisine and derivatives",NA,NA,NA,NA,NA
"ANEICJWUPVGZBQ-HEBVJZCOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"ANKZXIMZBGQTDU-LUZOJMLRSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives",NA,NA,NA
"ANUCHZVCBDOPOX-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Benzoquinolines","Acridines","Benzacridines",NA,NA,NA,NA
"ANWQAFOQTZKSNU-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AOMUHOFOVNGZAN-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",NA,NA,NA,NA,NA
"AOUZZRQCLQLQIF-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Furanocoumarins","Linear furanocoumarins","Psoralens",NA,NA,NA,NA
"AOWMWRDOEYIDQX-AUALTVSOSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides",NA,NA,NA,NA
"AOWRAYJMTOYETH-SXFAUFNYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides",NA,NA,NA
"APGIPIWYVRPJKL-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Diphenylethers","Diphenylethers",NA,NA,NA,NA,NA
