"InChIKey","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"WJNXAFADOMWGIU-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-3-O-glycosides",NA,NA,NA,NA
"XFNIQDLOQLIJTQ-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",NA,NA,NA,NA,NA
"KMJPKUVSXFVQGZ-WQLSNUALSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA,NA,NA,NA
"QULLOTSYPAOTIW-OAHLLOKOSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylacetamides","Phenylacetamides",NA,NA,NA,NA,NA
"NJFRZAVEQXEECB-UHFFFAOYSA-O","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonamides",NA,NA,NA,NA,NA
"VMCFTVWDHVWSOB-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoindoles and derivatives","Isoindolines","Isoindolones",NA,NA,NA,NA,NA
"UFUVJROSOIXJGR-LXJLHJBASA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Pyranocoumarins","Angular pyranocoumarins",NA,NA,NA,NA,NA
"RGTONEMDTVVDMY-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides",NA,NA,NA,NA,NA
"MYZWFVHLWUGKHG-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"JXAZKNVJWYDQJY-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Spirosolanes and derivatives",NA,NA,NA,NA,NA
"SNPUUTQIPHTWGL-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",NA,NA,NA,NA,NA
"FULPJPAORUXWHR-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZZFYGAXGATDNG-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","Protoberberine alkaloids and derivatives",NA,"Protoberberine alkaloids and derivatives",NA,NA,NA,NA,NA
"QEGXBXBKQLQOHP-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"KLFKZIQAIPDJCW-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",NA,NA,NA,NA,NA
"UCLZXGHPVJMYSQ-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides",NA,NA,NA,NA,NA
"VBPICPXOWJWCFG-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOOVMLNBEBDSMV-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins",NA,NA,NA,NA
"FAJUZULVBNLDIQ-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OBGBGHKYJAOXRR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes","Naphthoquinones","Naphthoquinones",NA,NA,NA,NA,NA
"NPWKEUKXVOMELT-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines","N-alkylpyrrolidines",NA,NA,NA,NA,NA
"ZCYMFPCPWCXPPX-HNQUOIGGSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acids",NA,NA,NA,NA,NA
"KNKHXYYGNZZSEJ-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides",NA,NA,NA,NA,NA
"UYTPUPDQBNUYGX-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",NA,NA,NA,NA,NA
"SZIDPCXTWHHMAY-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",NA,NA,NA,NA,NA
"MILRLYBECGIHIH-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTNPVPDWWGQDMU-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Anthracenes","Anthraquinones","Anthraquinone glycosides",NA,NA,NA,NA,NA
"IFFDZLRWLNUFOX-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"RZVAJINKPMORJF-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,NA
"UISOORRILGPHLE-OEYVFKEPSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","Monosaccharide phosphates",NA,NA,NA,NA
